,Time,Sha,User,Message
130,1456304782.0,9e7e2ed793abc2d31619251e46241f6dfe6c1403,Person 1,"Merge pull request #54 from jordy-jose/Solution2

Solution2"
131,1456304270.0,3b500cd64e3a017e25da944effee328907953b57,Person 1,"Merge pull request #53 from jordy-jose/Angelyn-patch-1

Angelyn patch 1"
132,1456304253.0,d27d49ef4f379fbffebb4cf84c973a19c4515f04,Person 1,"Added files via upload

Added files to include classes which provide methods for Reading, Updating and Inserting capability in master table of database.
Client side expect the data to be passed as Hashmap and will send across data in Hashmap as well."
133,1456286305.0,823424168933ebac447dabe5ea2ddffaf988ab4b,Person 1,"Merge pull request #52 from jordy-jose/Solution2

Solution2"
134,1456286222.0,1831d455bfae18ae326793242c9d0eec9fcde0d1,Person 1,"Merge pull request #51 from jordy-jose/Angelyn-patch-1

Added files via upload"
135,1456286205.0,7a044d23241f124ec2042355400cd56dc75aaa9c,Person 1,"Added files via upload

Add DB script for the tables MS and StudentInfo"
136,1456285341.0,43ad06fc9233bd5f8893651879609ce0c703af7a,Person 4,Boxed TD CSS
137,1456282457.0,8424b0f5be846615fc1df129372e8d38967fec07,Person 4,Add Sample Tab Impl
138,1456243046.0,8e1b48d25ad7d7be5ac4ecdb573153385dbbe241,Person 1,"Merge pull request #50 from jordy-jose/Angelyn-patch-1

Angelyn patch 1"
139,1456242951.0,adf5090fe38fb256b74a88993f26d16334ad26d5,Person 1,Added files via upload
140,1456242724.0,e7e632c3208ecc48de2fa266ed14b2085ccebb73,Person 1,Delete stud_info.png
141,1456242717.0,c3412b61c95fe19c74ce9894ffd9f9b4ebab166e,Person 1,Delete MS.png
142,1456242681.0,4881328a08ba8b038299a2a9b3df52c6a0665306,Person 1,"Added files via upload

A snapshot of the databases in the shema:
Student Information - <Unity ID, password>
Master of Science - <Unity ID, graduation requirements met so far>"
143,1456164431.0,3bd00274f3e6208a08567495f8210d7755420f01,Person 3,"Merge pull request #35 from jordy-jose/Solution2

Solution2"
144,1456164398.0,ad86535a991a4a5665aa5f17879345b893d920d9,Person 3,Delete README.md
145,1456164389.0,0480886916b71eb6c07c5b256ec15e52959c0eb6,Person 3,Delete Proposal.pdf
146,1456164379.0,c10884ca18cebfa33bf978112976d26c327d531b,Person 3,Delete PROBLEM STATEMENT.docx
147,1456164368.0,0bf20bdff596100710f49593401df63ce151fa4f,Person 3,Delete profiles_settings.xml
148,1456164359.0,0f5c26a300a08a428ee858dd1172e1d55e9ca403,Person 3,Delete workspace.xml
149,1456164335.0,1b45619f751a6cebcbc638eb77c02f0dfeadb0ce,Person 3,Delete vcs.xml
150,1456164328.0,a48d3c927c982d2e720717d24fc9f2f15fa44ecf,Person 3,Delete uiDesigner.xml
151,1456164318.0,65a314f38188f05f20265d0bc3f81c284d486852,Person 3,Delete modules.xml
152,1456164313.0,cdab152dc50a4671cbdec289e79c4b67402ca5bc,Person 3,Delete misc.xml
153,1456164306.0,4e572b5850aed9a22ee30784a242a56e310a697c,Person 3,Delete compiler.xml
154,1456164298.0,99c1358a8812f8c3538018cec2eb7a6d51fdf988,Person 3,Delete .name
155,1456164291.0,613a2b5c9ca2b599f8fe0ca3ad19326d17e1b906,Person 3,Delete .bash_profile
156,1456164271.0,be12292e573246a34cdab15a8f8e77d882ea55ff,Person 3,Delete profiles_settings.xml
157,1456164262.0,c2c900ccc2b827a37d305222282acba2ff207449,Person 3,Delete workspace.xml
158,1456164252.0,1202c3422d6a828bfc8187c94e7750bc2a4c085e,Person 3,Delete vcs.xml
159,1456164247.0,178ae933cd2b21be9f4bcd6b68844631dc75d503,Person 3,Delete uiDesigner.xml
160,1456164239.0,82a81cfa19a8ee31a69ef0b56f1c4cfbf84bdbd5,Person 3,Delete modules.xml
161,1456164119.0,75adc875eb3a4aff77fbbd50a65b799c6023e456,Person 3,Delete misc.xml
162,1456164108.0,d67fb73266313a89233c9ad4f18ee9ea02c24192,Person 3,Delete compiler.xml
163,1456164097.0,0d252bc0c9a4067862049d1ea940b64a0be23823,Person 3,Delete .name
164,1456164061.0,1e91953d19906f1713a411cc54be43dcbd46601e,Person 3,Delete .bash_profile
165,1456163883.0,250597e133762c24c794eda70c824df72c079f36,Person 3,Added files via upload
166,1456163787.0,bb2ebcf06e56e6a2a86229b3d99c71085fe8db9a,Person 3,"Merge pull request #34 from jordy-jose/Solution2

Solution2"
167,1456163535.0,b574690e6259dc6e308c252cde3aeb6aa05f04e4,Person 3,"GWT Java Project

Implemented Client dummy pages
SQL DB connection handler and DB files
Login module for the application
Some CSS and styling features
Basic project structure"
168,1455988149.0,a4e18017957e50d1de2565a0f56c9ef5fc8d099f,Person 3,Created Solution 2 folder
169,1455988108.0,65bbf25729f156d0152007240917167ef54aee52,Person 3,Merge branch 'master' into Solution2
170,1455661853.0,5790a36fd3bbcf55dd56ea1735c1239b9353b2f3,Person 2,initial structure for Solution1 Android App
171,1455476582.0,eddb3fb162276bdba66d6fdc647ccc2f199706c5,Person 3,Update README.md
172,1455476462.0,e477a569ca856381f15074c7bbc76af0847b538e,Person 3,Update README.md
173,1455476330.0,458dbba1a125afea66eefba059a7c3d8cce72b7c,Person 3,"Merge pull request #16 from jordy-jose/Solution2

Merging Solution two project to master"
174,1455476156.0,caa3fe37b145a99737db372ca24700e4c7229bf4,Person 3,"Merge branch 'master' into Solution2

# Conflicts:
#	README.md"
175,1455429781.0,279d72e1107faab5af3a2306e7b59281db6cea2f,Person 3,Test Idea git plugin
176,1455428126.0,77a7088bda1baca6695dc0cd3f9d27e34c1a9a40,Person 3,"Project folder structure with dummy working example.
Database helper code moved."
177,1455426203.0,8ac088211842abeb801fcc2a82339ac68c4b12cb,Person 3,"Project folder structure with dummy working example.
Database helper code moved."
178,1455425981.0,fc899e088b372aaa7d506bcb774850ae33bb7294,Person 3,"Project folder structure with dummy working example.
Moved Database helper class inside the project folder."
